# zipName,ChineseName
# 常见飞行射击与街机精选 (A~B 开头)
acrobck,杂技任务
Acrobat Mission,杂技任务
aerofigt,四国战机 1 (音速战机)
Aero Fighters,四国战机 1 (音速战机)
Sonic Wings,音速战机 1 (四国战机)
sonicwi2,四国战机 2 (音速战机 2)
Aero Fighters 2,四国战机 2 (音速战机 2)
Sonic Wings 2,四国战机 2 (音速战机 2)
sonicwi3,四国战机 3 (音速战机 3)
Aero Fighters 3,四国战机 3 (音速战机 3)
Sonic Wings 3,四国战机 3 (音速战机 3)
silkroad2,丝绸之路 2
Age Of Heroes - Silkroad 2,丝绸之路 2
Age Of Heroes,丝绸之路 2
airass,空中突击
Air Assault,空中突击
airattck,空中打击
Air Attack,空中打击
airbustr,强袭装甲 (机甲特警)
Air Buster,强袭装甲 (机甲特警)
airduel,空战英豪
Air Duel,空战英豪
airgallet,空战雄鹰
Air Gallet,空战雄鹰
akakat,红色刀锋 (赤刀)
Akai Katana,红色刀锋 (赤刀)
alpham2,ASO 阿尔法任务 2
Alpha Mission II,ASO 阿尔法任务 2
ASO II,ASO 阿尔法任务 2
androdun,异形战机 (异形战机传)
Andro Dunos,异形战机 (异形战机传)
arabianm,阿拉伯魔法 (天方夜谭)
Arabian Magic,阿拉伯魔法 (天方夜谭)
arbalest,重弩战机
Arbalester,重弩战机
arcadia,阿卡迪亚
Arcadia,阿卡迪亚

bbusters,强力炸弹人
Bang Bang Busters,强力炸弹人
baryon,重子战机
Baryon,重子战机
batsugun,疯狂枪支 (BATSUGUN)
Batsugun,疯狂枪支 (BATSUGUN)
bgaregga,空战之路 (孤注一掷)
Battle Garegga,空战之路 (孤注一掷)
btoads,忍者蛙
Battletoads,忍者蛙
ddp2,怒首领蜂 2 - 蜂暴
Bee Storm - DoDonPachi II,怒首领蜂 2 - 蜂暴
Bee Storm,怒首领蜂 2 - 蜂暴
biomtoy,生化玩具
Biomechanical Toy,生化玩具
bheart,黑心战机
Black Heart,黑心战机
blazstar,闪亮之星 (炽热之星)
Blazing Star,闪亮之星 (炽热之星)
bluehawk,蓝鹰战机
Blue Hawk,蓝鹰战机
bmrwld,炸弹人世界
Bomber Man World,炸弹人世界
New Dyna Blaster,炸弹人世界
burnfgt,热血快打
Burning Fight,热血快打
calibr50,50口径重机枪
Caliber 50,50口径重机枪
captaven,美国队长与复仇者联盟
Captain America and The Avengers,美国队长与复仇者联盟
cawing,空战雌鹿 (组合战机)
Carrier Air Wing,空战雌鹿 (组合战机)
cairblad,换位空战
Change Air Blade,换位空战

# Neo Geo 经典
kof94,拳皇 94
kof95,拳皇 95
kof96,拳皇 96
kof97,拳皇 97
kof98,拳皇 98 - 终极之战
kof99,拳皇 99 - 千年之战
kof2000,拳皇 2000
kof2001,拳皇 2001
kof2002,拳皇 2002
kof2003,拳皇 2003
mslug,合金弹头 1
mslug2,合金弹头 2
mslugx,合金弹头 X
mslug3,合金弹头 3
mslug4,合金弹头 4
mslug5,合金弹头 5
samsho,侍魂 1
samsho2,侍魂 2 - 霸王丸地狱变
samsho3,侍魂 3 - 斩红郎无双剑
samsho4,侍魂 4 - 天草降临
samsho5,侍魂 5
samsh5sp,侍魂 5 特别版
lastblad,月华剑士 1
lastbld2,月华剑士 2
garou,饿狼传说 - 狼之印记
fatfury1,饿狼传说 1
fatfury2,饿狼传说 2
fatfursp,饿狼传说 特别版
rbff1,饿狼传说 - 真实格斗
rbff2,饿狼传说 - 真实格斗 2
rbffspec,饿狼传说 - 真实格斗特别版
aof,龙虎之拳 1
aof2,龙虎之拳 2
aof3,龙虎之拳 3
sengoku,战国传承 1
sengoku2,战国传承 2
sengoku3,战国传承 3
shocktro,突击骑兵 1
shocktr2,突击骑兵 2
neobombe,炸弹人街机版
spinmast,幻魔大战
magdrop2,魔法气泡 2
magdrop3,魔法气泡 3
twinkle,闪亮小妖精
whp,世界英雄 完美版
matrim,豪血寺一族 - 斗婚
rotd,龙吼

# Capcom CPS-1 / CPS-2 / CPS-3
dino,恐龙快打 (恐龙新世纪)
dinoj,恐龙快打 (日版)
wof,三国志 2 (吞食天地 2)
wofa,三国志 2 - 赤壁之战
captcomm,名将 (队长小队)
ffight,快打旋风 1
punisher,惩罚者
cadash,卡达叙传说
knights,圆桌骑士
kod,龙王战士
sf2,街头霸王 2 - 天下斗士
sf2ce,街头霸王 2 - 四大天王
sf2hf,街头霸王 2 - 降龙版/加速版
ssf2,超级街头霸王 2 - 新的挑战者
ssf2t,超级街头霸王 2X - 绝招版
sfa,街头霸王少年篇 1
sfa2,街头霸王少年篇 2
sfa3,街头霸王少年篇 3
vsav,恶魔救世主 (吸血鬼)
dstlk,恶魔战士 (吸血鬼 1)
nwarr,恶魔猎人 (吸血鬼 2)
armwar,装甲勇士
cybots,机甲装斗
ddsom,龙与地下城 - 暗黑秘影
ddtod,龙与地下城 - 毁灭之塔
avsp,异形大战铁血战士
msh,漫威超级英雄
mshvsf,漫威超级英雄对街头霸王
mvsc,漫威对卡普空
xmvsf,X战警对街头霸王
xmcota,X战警 - 原子之子
1941,1941 - 反击战
1942,1942
1943,1943 - 中途岛海战
1944,1944 - 征服回环
19xx,19XX - 命运之战
progear,疾风魔法大作战
batcir,战斗回路
megaman,洛克人 - 力量之战
megaman2,洛克人 2 - 力量对决
sfiii,街头霸王 3 - 新纪元
sfiii2,街头霸王 3 - 2度冲击
sfiii3,街头霸王 3 - 3度冲击 (三度冲击)
jojo,JOJO的奇妙冒险
jojoba,JOJO的奇妙冒险 - 未来的遗产

# IGS PGM
kov,三国战纪 1
kovplus,三国战纪 1 风云再起
kov115,三国战纪 1 (115版)
kov2,三国战纪 2
kov2p,三国战纪 2 群雄争霸
olds,西游释厄传 1
oldsplus,西游释厄传 SUPER (增强版)
drgw2,神剑伏魔录
martmast,形意拳
dwpc,中国龙 3
killbld,傲剑狂刀
killbldt,傲剑狂刀 (连击版)
svg,魔域战线
ddpdoj,怒首领蜂 - 大往生
espgal,圣灵机甲
ket,绊地狱
pgm,IGS PGM 系统卡

# 其他经典街机 (Konami, Taito, Data East, Toaplan 等)
tmnt,忍者神龟 1
tmnt2,忍者神龟 2
sunset,日落骑士 (西部牛仔)
moomesa,落日骑士 2 (荒野大镖客)
simpsons,辛普森一家
xmen,X战警 6人版
vendetta,暴风小子 (罪恶战士 2)
bucky,太空兔八哥
contra,魂斗罗 (街机版)
scontra,超级魂斗罗 (街机版)
sailormn,美少女战士
snowbros,雪人兄弟 1
snowbro2,雪人兄弟 2
tumblep,吸尘器小子 (抓鬼大师)
joeandmac,原始人战斗
raiden,雷电 1
raiden2,雷电 2
raidendx,雷电 DX
dogyuun,极道之枪
truxton,达人 1
truxton2,达人 2
batrider,武装飞鸟 (武装骑兵)
bbakraid,战斗苍鹰
gunbird,枪之鸟 1
gunbird2,枪之鸟 2
s1945,打击者 1945 1
s1945ii,打击者 1945 2
s1945iii,打击者 1945 3
s1945p,打击者 1945 增强版
tengai,战国之刃
samuraia,战国之刃 1 (战国ACE)
guwange,首领蜂 - 俱利伽罗
ddonpach,怒首领蜂
donpachi,首领蜂
esprade,长空超少年
bublbobl,泡泡龙
bublbobl2,泡泡龙 2
rainbow,彩虹岛
puzloop,祖玛环珠
outrun,超越 (OutRun)
shinobi,忍 (Shinobi)
goldnaxe,战斧 1
goldnax2,战斧 2
shadwrd,影子军团
pnyaa,喵喵方块
pang,魔幻方块
pang3,魔幻方块 3
spf2t,超级街霸方块 2X
suprmrn,超级水管工 (马里奥街机)
popeye,大力水手
galaxian,小蜜蜂
galaga,大蜜蜂
pacman,吃豆人
msbishi,Bishi Bashi 必杀拍拍乐
bishi,拍拍乐街机版
